product sales quarterly,demand,net profit,losses in profit
4346290.0,43463,987793182.0,98779318
5340077.713457423,53401,1239660898.3643558,95358530
6082964.613015019,60830,1431285792.2537549,89455361
6762750.658375468,67628,1601704103.593867,88983561
7221637.310225072,72217,1719437455.556268,85971872
7858621.780587088,78587,1879235644.1467721,85419801
8250207.882903999,82503,1983223049.7259996,79328921
8718092.658658914,87182,2098800084.6647286,80723080
9385174.445104666,93853,2268083824.2761664,78209787
9432663.809658008,94328,2284473266.414502,73692686
9620351.099653851,96205,2336370981.9134626,68716793
9671840.302567648,96720,2350794518.641912,67165557
10509116.477644145,105093,2558140195.4110365,69138924
11096896.212979442,110971,2703090103.24486,71133950
11663675.804270566,116639,2844798977.0676413,71119974
12318253.221984668,123185,3009573230.4961667,69990075
13027929.00447787,130282,3184604868.1194673,72377383
13331812.683148816,133321,3260497667.7872043,72455503
13485099.379417725,134854,3299545592.854431,71729252
