product sales quarterly,demand,net profit,losses in profit
3174190.0,31742,732505385.0,61042115
3379479.3532228596,33795,784521993.3057148,60347845
3784466.8789086887,37845,883042272.7271721,63074447
4311952.26234754,43120,1014577003.586885,63411062
5124933.261718725,51250,1210053687.4296813,71179628
5326320.639067046,53264,1268171580.7667615,63408579
5411809.365156006,54119,1291454508.2890015,61497833
5562196.846358442,55623,1334927243.5896103,55621968
6022678.306320699,60228,1447759208.5801747,57910368
6174165.245187603,61743,1486373115.2969007,57168196
7099835.04167792,71000,1715793468.41948,59165292
7882606.854442071,78828,1910934995.6105177,59716718
8723276.25548351,87235,2120240756.8708773,60578307
9568844.567128705,95691,2330872394.782176,61338747
9973123.77494241,99734,2430948920.7356024,62332023
10611296.099241871,106116,2588121000.8104677,64703024
11079172.699267812,110795,2706843330.816953,62949844
11813241.013138698,118136,2889107857.2846746,64202396
11934527.327123743,119349,2920150303.780936,63481528
