product sales quarterly,demand,net profit,losses in profit
4275610.0,42756,971729546.0,97172954
4935821.544110768,49358,1145815716.0276918,88139670
5395833.551949609,53958,1269607894.9874022,79350493
5605644.856519651,56056,1331340654.1299126,70070560
6204659.649771983,62046,1480657416.4429958,70507496
6291870.488095181,62918,1507427305.0237954,65540317
6634784.3296616385,66347,1592348239.4154096,66347843
6881897.47040039,68818,1659028854.6000977,61445513
6896307.674354845,68962,1668461534.5887113,55615384
7465026.553796508,74649,1809703407.4491272,56553231
7495237.065782557,74951,1818697229.4456394,55112037
7744751.628485222,77446,1880868253.1213057,55319654
7752061.771409058,77519,1884181680.8522644,53833762
8365584.574303763,83654,2036359403.5759408,55036740
9030709.249079557,90305,2199788151.2698894,57889161
9581432.009554405,95812,2338325669.3886013,57032333
10376061.250859452,103758,2535060419.7148633,58954893
10810482.188558074,108102,2645117983.1395183,57502564
11107499.941421272,111072,2720204067.355318,56670918
